media, no3_mM, nh4_mM, k_mM, ca_mM, mg_mM, so4_mM, po4_mM, cl_mM, ns_mean, ns_se, ls_mean, ls_se, cw_mean, cw_se, qi_mean, qi_se
1, 37.62, 10.31, 24.43, 1.91, 1.13, 1.37, 0.94, 0, 10.6, 0.4, 2.3, 0.05, 0.07, 0.005, 4.5, 0.13
2, 37.62, 10.31, 25.05, 1.91, 1.13, 1.37, 1.56, 0, 9.8, 0.2, 2.1, 0.04, 0.1, 0.005, 4.2, 0.1
3, 37.62, 10.31, 24.43, 1.91, 1.88, 2.12, 0.94, 0, 9.4, 0.2, 2.02, 0.03, 0.07, 0.003, 4.4, 0.1
4, 37.62, 10.31, 25.05, 1.91, 1.88, 2.12, 1.56, 0, 9.6, 0.4, 1.82, 0.05, 0.12, 0.005, 4, 0.07
5, 40.15, 10.31, 24.43, 3.18, 1.13, 1.37, 0.94, 0, 12.6, 0.4, 2.48, 0.03, 0.04, 0.005, 4.9, 0.1
6, 40.15, 10.31, 25.05, 3.18, 1.13, 1.37, 1.56, 0, 11.2, 0.3, 2.32, 0.02, 0.08, 0.005, 4.7, 0.1
7, 40.15, 10.31, 24.43, 3.18, 1.88, 2.12, 0.94, 0, 9.8, 0.3, 2.3, 0.04, 0.06, 0.006, 4.8, 0.12
8, 40.15, 10.31, 25.05, 3.18, 1.88, 2.12, 1.56, 0, 9.2, 0.3, 2.2, 0.05, 0.1, 0.003, 4.7, 0.06
9, 42.77, 15.47, 24.43, 1.91, 1.13, 1.37, 0.94, 0, 7.6, 0.2, 1.82, 0.03, 0.12, 0.003, 3.6, 0.06
10, 42.77, 15.47, 25.05, 1.91, 1.13, 1.37, 1.56, 0, 6.8, 0.2, 1.62, 0.03, 0.15, 0.005, 3.3, 0.11
