source_table,media_id,varied_input_type,bap_mgL,kin_mgL,tdz_mgL,iba_mgL,naa_mgL,no3_mM,nh4_mM,k_mM,ca_mM,mg_mM,so4_mM,po4_mM,cl_mM,ns_mean,ns_se,ls_mean,ls_se,cw_mean,cw_se,qi_mean,qi_se
study1_table1,1,hormone,0.0,0,0,0.0,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,1.33,0.21,2.53,0.06,0.01,0.01,4.83,0.11
study1_table1,2,hormone,0.0,0,0,0.05,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,1.33,0.21,2.12,0.05,0.02,0.008,4.83,0.11
study1_table1,3,hormone,0.0,0,0,0.1,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,1.67,0.16,2.18,0.06,0.07,0.02,4.92,0.08
study1_table1,4,hormone,0.0,0,0,0.15,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,1.67,0.16,1.98,0.03,0.04,0.01,5.0,0.0
study1_table1,5,hormone,0.5,0,0,0.0,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,3.17,0.66,1.87,0.03,0.09,0.05,4.58,0.15
study1_table1,6,hormone,0.5,0,0,0.05,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,3.67,0.71,2.32,0.03,0.1,0.01,4.33,0.11
study1_table1,7,hormone,0.5,0,0,0.1,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,3.33,0.56,1.86,0.04,0.14,0.03,4.17,0.11
study1_table1,8,hormone,0.5,0,0,0.15,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,3.17,0.48,2.38,0.05,0.19,0.02,4.17,0.11
study1_table1,9,hormone,1.0,0,0,0.0,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,8.33,0.21,2.82,0.03,0.16,0.02,3.83,0.11
study1_table1,10,hormone,1.0,0,0,0.05,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,9.0,0.26,3.03,0.04,0.18,0.01,3.66,0.11
study1_table1,11,hormone,1.0,0,0,0.1,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,10.67,0.21,2.63,0.02,0.22,0.03,3.41,0.15
study1_table1,12,hormone,1.0,0,0,0.15,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,6.67,0.33,2.18,0.07,0.27,0.04,3.25,0.11
study1_table1,13,hormone,1.5,0,0,0.0,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,3.67,0.42,1.92,0.03,0.18,0.04,3.08,0.15
study1_table1,14,hormone,1.5,0,0,0.05,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,3.33,0.33,2.12,0.05,0.21,0.05,2.83,0.11
study1_table1,15,hormone,1.5,0,0,0.1,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,3.83,0.7,2.45,0.03,0.18,0.03,2.75,0.21
study1_table1,16,hormone,1.5,0,0,0.15,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,2.67,0.33,2.04,0.04,0.27,0.04,2.58,0.15
study1_table1,17,hormone,2.0,0,0,0.0,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,3.0,0.77,1.9,0.03,0.36,0.09,2.17,0.17
study1_table1,18,hormone,2.0,0,0,0.05,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,2.33,0.33,1.75,0.03,0.2,0.02,1.83,0.11
study1_table1,19,hormone,2.0,0,0,0.1,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,2.33,0.49,2.68,0.04,0.31,0.04,1.42,0.15
study1_table1,20,hormone,2.0,0,0,0.15,0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,4.0,1.13,1.75,0.04,0.35,0.04,1.08,0.08
study1_table2,1,hormone,0.0,0,0,0,0.0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,1.16,0.16,2.67,0.04,0.0,0.0,4.83,0.11
study1_table2,2,hormone,0.0,0,0,0,0.05,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,1.83,0.16,2.13,0.05,0.01,0.009,4.83,0.11
study1_table2,3,hormone,0.0,0,0,0,0.1,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,1.17,0.17,2.13,0.06,0.02,0.01,4.91,0.08
study1_table2,4,hormone,0.0,0,0,0,0.15,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,1.17,0.17,1.95,0.02,0.06,0.009,5.0,0.0
study1_table2,5,hormone,0.5,0,0,0,0.0,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,2.83,0.4,1.96,0.04,0.07,0.014,4.58,0.15
study1_table2,6,hormone,0.5,0,0,0,0.05,39.41,20.61,20.05,2.99,1.5,1.73,1.25,5.99,4.17,0.4,2.12,0.05,0.09,0.02,4.42,0.08
